Country,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Ivory Coast,4,10,14,12,14,6,14,22,12,11,11,31,38,52,38,84,100,71,46,86,85,75,69,104,75,73,58,81,101
Jamaica,0,16,8,9,8,19,19,13,35,26,8,29,19,19,11,2,8,3,22,5,12,0,4,1,3,4,2,9,8
Japan,0,0,0,0,1,0,0,0,10,8,2,1,16,8,12,7,17,8,8,10,15,30,22,26,35,36,25,32,9
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,5,4,11,3,1,3,1,4,4,1
Kosovo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,1,1,0,3,0,2,1,12
Latvia,0,0,0,0,0,0,0,0,3,13,9,14,1,2,0,0,1,0,0,0,0,0,13,4,1,2,3,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0
Liberia,10,20,22,16,15,30,33,15,9,14,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,4,3,0,0,0,0,0,0,2,0,0,0
Lithuania,0,0,0,5,2,3,3,0,0,4,11,4,0,0,6,0,3,0,3,5,2,0,0,0,0,0,0,0,0
Luxembourg,4,2,0,0,0,0,1,0,0,2,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,1,3,0,3,2,2,9,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,6,2,3,16,19,11,23,35,37,47,33,53,47,56,51,21,32,27,25,12,28,14
Malta,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,2,3,1,0,2,1,6,11,16,20,17,17,21,14,15,19,9,2,7,3,2,0,0,0
