Player,Runs,Team,Opposition,Stadium,Location,Date
David Miller,138,South Africa,Zimbabwe,Seddon Park,Hamilton,2015
Lendl Simmons,102,West Indies,Ireland,Saxton Oval,Nelson,2015
Shikhar Dhawan,137,India,South Africa,Melbourne Cricket Ground,Melbourne,2015
Mahela Jayawardene,100,Sri Lanka,Afghanistan,University Oval,Dunedin,2015
Moeen Ali,128,England,Scotland,Hagley Oval,Christchurch,2015
Marlon Samuels,133,West Indies,Zimbabwe,Manuka Oval,Canberra,2015
Chris Gayle,215,West Indies,Zimbabwe,Manuka Oval,Canberra,2015
Shaiman Anwar,106,United Arab Emirates,Ireland,Brisbane Cricket Ground,Brisbane,2015
Tillakaratne Dilshan,161,Sri Lanka,Bangladesh,Melbourne Cricket Ground,Melbourne,2015
Kumar Sangakkara,105,Sri Lanka,Bangladesh,Melbourne Cricket Ground,Melbourne,2015
AB de Villiers,162,South Africa,West Indies,Sydney Cricket Ground,Sydney,2015
Joe Root,121,England,Sri Lanka,Wellington Regional Stadium,Wellington,2015
Lahiru Thirimanne,139,Sri Lanka,England,Wellington Regional Stadium,Wellington,2015
Kumar Sangakkara,117,Sri Lanka,England,Wellington Regional Stadium,Wellington,2015
Faf du Plessis,109,South Africa,Ireland,Manuka Oval,Canberra,2015
Hashim Amla,159,South Africa,Ireland,Manuka Oval,Canberra,2015
David Warner,178,Australia,Afghanistan,WACA Ground,Perth,2015
Kyle Coetzer,156,Scotland,Bangladesh,Saxton Oval,Nelson,2015
Ed Joyce,112,Ireland,Zimbabwe,Bellerive Oval,Hobart,2015
Brendan Taylor,121,Zimbabwe,Ireland,Bellerive Oval,Hobart,2015
Glenn Maxwell,102,Australia,Sri Lanka,Sydney Cricket Ground,Sydney,2015
Kumar Sangakkara,104,Sri Lanka,Australia,Sydney Cricket Ground,Sydney,2015
Mahmudullah Riyad,103,Bangladesh,England,Adelaide Oval,Adelaide,2015
Shikhar Dhawan,100,India,Ireland,Seddon Park,Hamilton,2015
Tillakaratne Dilshan,104,Sri Lanka,Scotland,Bellerive Oval,Hobart,2015
Kumar Sangakkara,124,Sri Lanka,Scotland,Bellerive Oval,Hobart,2015
Mahmudullah Riyad,128,Bangladesh,New Zealand,Seddon Park,Hamilton,2015
Martin Guptill,105,New Zealand,Bangladesh,Seddon Park,Hamilton,2015
Suresh Raina,110,India,Zimbabwe,Eden Park,Auckland,2015
Brendan Taylor,138,Zimbabwe,India,Eden Park,Auckland,2015
William Porterfield,107,Ireland,Pakistan,Adelaide Oval,Adelaide,2015
Sarfraz Ahmed,101,Pakistan,Ireland,Adelaide Oval,Adelaide,2015
Rohit Sharma,137,India,Bangladesh,Melbourne Cricket Ground,Melbourne,2015
Martin Guptill,237,New Zealand,West Indies,Westpac Stadium,Wellington,2015
Steve Smith,105,Australia,India,Sydney Cricket Ground,Sydney,2015
Joe Root,107,England,Pakistan,Trent Bridge,Nottingham,2019
Jos Buttler,103,England,Pakistan,Trent Bridge,Nottingham,2019
Rohit Sharma,122,India,South Africa,Hampshire Bowl,Southampton,2019
Shakib Al Hasan,121,Bangladesh,England,Sophia Gardens,Cardiff,2019
Jason Roy,153,England,Bangladesh,Sophia Gardens,Cardiff,2019
Shikhar Dhawan,117,India,Australia,The Oval,London,2019
David Warner,107,Australia,Pakistan,County Ground,Taunton,2019
